job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Business Intelligence Engineer,US,US,MI,FT,74100,11.21318430646977
Data Architect,US,US,SE,FT,263100,12.480293267857345
Data Engineer,US,US,SE,FT,183414,12.119506623900577
Data Analyst,US,US,SE,FT,78897,11.275911157970228
Analyst,US,US,EN,FT,58300,10.97337452485014
Data Analyst,US,US,MI,FT,120000,11.695255355062795
Data Engineer,US,US,SE,FT,172800,12.059895922372384
Data Scientist,US,US,SE,FT,125760,11.742138559285364
Data Scientist,US,US,SE,FT,198800,12.200059603373045
Data Scientist,US,US,EX,FT,220000,12.301387370778713
Manager,US,US,SE,FT,259000,12.464587201678082
Data Analyst,US,US,SE,FT,47000,10.757924157061597
Engineer,US,US,SE,FT,186800,12.137799158081608
Associate,US,US,MI,FT,105000,11.561725152903833
Machine Learning Engineer,US,US,SE,FT,110000,11.608244735642321
Data Architect,US,US,SE,FT,234300,12.364361892519216
Associate,GB,GB,MI,FT,45028,10.715062005631752
BI Developer,US,US,SE,FT,110000,11.608244735642321
Data Analyst,NL,NL,SE,FT,95717,11.469161647529052
Systems Engineer,GB,GB,EN,FT,48881,10.797164509538696
Data Analyst,NZ,NZ,EN,FT,130000,11.775297421715827
Data Lead,US,US,SE,FT,34000,10.434145214930487
Software Engineer,US,US,MI,FT,189000,12.149507585033072
Engineer,US,US,SE,FT,101400,11.52683823202353
Machine Learning Engineer,US,US,SE,FT,260800,12.471512943383113
Machine Learning Lead,US,US,SE,FT,90263,11.410493988818281
BI Developer,US,US,SE,FT,145000,11.884495917930655
Machine Learning Engineer,US,US,EN,FT,260100,12.468825296104477
Business Intelligence Engineer,US,US,SE,FT,107571,11.585915669797602
Engineering Manager,US,US,MI,FT,171000,12.049424683420915
Data Scientist,US,US,SE,FT,101000,11.522885696764481
Analytics Specialist,AT,AT,MI,FT,31212,10.34858995368279
Data Scientist,US,US,MI,FT,105500,11.566475710526321
Machine Learning Engineer,US,US,MI,FT,135000,11.813037464800539
Data Engineer,US,US,SE,FT,261800,12.475339952160343
Platform Engineer,US,US,SE,FT,98300,11.495789479023493
Machine Learning Engineer,US,US,SE,FT,66000,11.097425172408931
Software Engineer,US,US,SE,FT,214471,12.27593447269909
Engineer,US,US,SE,FT,308000,12.637858308703688
Manager,US,US,SE,FT,211180,12.260470864646196
Associate,US,US,MI,FT,100050,11.513435334964429
Data Analyst,GB,GB,SE,FT,67672,11.12244256103509
Data Engineer,LT,LT,SE,FT,69333,11.146690685353732
Analytics Engineer,US,US,SE,FT,221300,12.307279044781756
Manager,US,US,MI,FT,224000,12.319405795112926
Data Integrator,GB,GB,SE,FT,75600,11.233224789593368
Data Analyst,LT,LT,EN,FT,49364,10.80699695004555
Frontend Engineer,US,US,SE,FT,210000,12.25486757159303
Software Developer,CA,CA,SE,FT,193000,12.170450649220749
Business Intelligence Analyst,US,US,EN,FT,78000,11.264476926102367
Data Engineer,US,US,MI,FT,71903,11.183087174985056
Software Engineer,US,US,MI,FT,190000,12.154784614286667
Research Analyst,US,US,SE,FT,80300,11.293537353157436
Applied Scientist,US,US,SE,FT,180000,12.100717685412471
Big Data Engineer,IN,IN,MI,FT,22611,10.026236017795181
Data Engineer,US,US,EX,FT,333900,12.718599820835916
Security Researcher,US,US,MI,FT,151000,11.92504173829169
Data Analytics Specialist,US,US,SE,FT,150700,11.923053020292636
Systems Engineer,US,US,SE,FT,162400,11.997823864326225
Analyst,US,US,EN,FT,59976,11.001716434379901
Applied Scientist,US,US,MI,FT,136000,11.820417517632333
Engineer,US,US,EX,FT,180000,12.100717685412471
Machine Learning Engineer,US,US,EX,FT,232000,12.354496960983985
Data Scientist,US,US,SE,FT,68750,11.13824656087758
Analyst,US,US,MI,FT,213000,12.269052139516223
Engineering Manager,US,US,SE,FT,294000,12.591338447675579
Machine Learning Engineer,US,US,SE,FT,300000,12.611541086966115
Data Scientist,US,US,EN,FT,40000,10.596659732783579
Data Scientist,US,US,SE,FT,234900,12.366919427768636
